state,state_abbr,fips_state,poverty_rate,median_household_income,white_pct,black_pct,native_pct,asian_pct,pacific_pct,two_plus_pct,grocery_cost_index,benefits_may_2025,participants_may_2025,trifecta_2024,usda_snap_region,benefits_per_person,minimum_wage,min_wage_tier,RUCC,rural_urban_category,population,participants_per_1000,snap_policy_class
Maryland,MD,24,0.091,102905,0.46899358476949554,0.29140314406966383,0.004707642394806505,0.06935809376007868,0.0005730279313196727,0.09151299171991403,119.879,121902010.0,667981.0,Democratic,Mid-Atlantic,182.49322959784783,15.0,high,1,urban,6263220.0,106.65137102001846,Moderate
Massachusetts,MA,25,0.09699999999999999,104828,0.6671825829285761,0.06859280698290442,0.0024287534589627967,0.07729341127055392,0.00017726593154788472,0.12139745530201,130.13,232066810.0,1076187.0,Democratic,Northeast,215.63799785724973,15.0,high,2,urban,7136171.0,150.8073447231015,High
Michigan,MI,26,0.134,72389,0.7304385334036655,0.1301673819695933,0.005282798342757463,0.03746930982118265,0.0004556006784308284,0.07659544799697923,78.886,258575524.0,1473832.0,Democratic,Midwest,175.44436815050832,10.56,medium,6,mixed,10140459.0,145.34174439243824,High
Minnesota,MN,27,0.09300000000000001,87117,0.7593423682552034,0.0756968012744705,0.009640867293119065,0.052504069029100056,0.0006176258827018319,0.07334954673199438,90.622,71616027.0,451966.0,Democratic,Midwest,158.45445675117153,11.13,medium,6,mixed,5793151.0,78.01730008418562,Low
Mississippi,MS,28,0.17800000000000002,59127,0.5556367639638538,0.3588021929668082,0.0050291449841915435,0.012314116841570551,0.00017159098824516786,0.047975820960943515,54.899,64432174.0,357042.0,Republican,Southeast,180.46104940035065,7.25,low,7,rural,2943045.0,121.31720717827963,Moderate
Missouri,MO,29,0.12300000000000001,71589,0.7758806148332246,0.10469611074658,0.003420721528225436,0.022680133075738462,0.0014522535227955767,0.07298174387627761,70.433,128629589.0,655940.0,Republican,Mountain Plains,196.09962649022776,13.75,medium,7,rural,6245466.0,105.02659048980492,Moderate
Montana,MT,30,0.102,75340,0.8462716083687336,0.0030908353872953036,0.05412259405064749,0.00827007306330365,0.0010974004447637379,0.07699213793479437,76.743,13743731.0,80523.0,Republican,Mountain Plains,170.6808116935534,10.55,medium,8,rural,1137233.0,70.80607052380647,Low
Nebraska,NE,31,0.109,76376,0.7663061851958597,0.047924522280607104,0.012709265577177574,0.027614529490901367,0.0008292337042861859,0.09874163910033877,74.313,27258920.0,150600.0,Republican,Mountain Plains,181.00212483399736,13.5,medium,9,rural,2005466.0,75.09476600450968,Low
Nevada,NV,32,0.11599999999999999,81134,0.48017960089573974,0.09514893340927391,0.014009934912885118,0.09451204862971838,0.008270932805136211,0.1733973135765411,113.327,85360880.0,496848.0,Divided,Western,171.80481756996105,12.0,medium,6,mixed,3267467.0,152.05907205795805,High
New Hampshire,NH,33,0.07200000000000001,99782,0.8755926054198911,0.015097598918974161,0.0019885992653112207,0.02686028422349528,0.00023917128922551086,0.064161779150509,114.615,12838748.0,75717.0,Divided,Northeast,169.562291163147,7.25,low,4,mixed,1409032.0,53.73689171005343,Low
New Jersey,NJ,34,0.092,104294,0.5233622756529915,0.12901139066384684,0.007118730732647001,0.10665023585781948,0.0003542840530811398,0.12066024401393097,134.101,160778766.0,826094.0,Democratic,Mid-Atlantic,194.6252678266638,15.49,high,1,urban,9500851.0,86.94947431551131,Low
New Mexico,NM,35,0.16399999999999998,67816,0.46351377487025036,0.02349482879053034,0.09660482120458762,0.020018251327539975,0.0008491937119294582,0.25841307335831937,75.264,80790060.0,457699.0,Democratic,Southwest,176.5135165250525,12.0,medium,6,mixed,2130256.0,214.8563365154235,High
New York,NY,36,0.14,85820,0.543302977845749,0.1423512204609315,0.005983012846067054,0.09532528108573467,0.00041505496886131386,0.10032390998491587,121.919,647210404.0,2962913.0,Democratic,Northeast,218.43719474719643,16.0,high,3,urban,19867248.0,149.13555214089038,High
North Carolina,NC,37,0.125,73958,0.6083775483377548,0.1982004565624699,0.011729922006325534,0.03627214643024495,0.0007642568946075076,0.0887455069806113,80.837,240858724.0,1378291.0,Divided,Southeast,174.75172079045717,7.25,low,4,mixed,11046024.0,124.77711437165082,High
North Dakota,ND,38,0.111,77871,0.8199814705084814,0.03753979572365448,0.04262410742083538,0.01935302447499774,0.0009051330206586255,0.06658063090658926,69.363,9959141.0,57129.0,Republican,Mountain Plains,174.32724185615012,7.25,low,8,rural,796568.0,71.7189241847526,Low
Ohio,OH,39,0.127,72212,0.7598805012478012,0.12156905183945475,0.002146541062990562,0.027620012077449168,0.0005061723574521026,0.06959958274230803,72.08,269917495.0,1450955.0,Republican,Midwest,186.02747500783966,10.7,medium,4,mixed,11883304.0,122.10030139765843,Moderate
